id,titre,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,description,caracteristiques,source,date_publication
1076,منزل احذ اللنكات حمام الياسمين ,1800000.0,150.0,3.0,2.0,,Arafat,دار للبيع اعل شارع اكبير احذ حمام الياسمين اللنكات اثلت ابيوت و جلسه و كوزين و دشات ,Titre foncier | 1 balcon(s) | Taille rue: 15.00 | Proche de: حمام الياسمين | Garage,voursa.com,2025-09-13
875,فرصة دار مكونه من طابقين ارضي و واحد فوقوني كارفور توري,1800000.0,300.0,6.0,3.0,,Tevragh Zeina,فرصة دار ، الطابق الأرضي يحتاج ترميم بسبب الملح و الطابق الي فوقه صالح للسكن مباشرة، يتكون من أربع غرف و حمامين و مطبخ، كارو كامل، في الركن، بضعة أمتار من كارفور توري فرصه حقيقية,1 balcon(s) | Taille rue: N/A | Proche de: كرفور توري | Garage,voursa.com,2025-07-06
453,دار فتيارت فاتح فبرك,900000.0,216.0,1.0,1.0,,Teyarett,"سعر 9ملايين مدخله 50الف حد شاري ول عندو طلب تلفنل اعل واتساب فقط
26678975",Titre foncier | type de propriété: Autre | 1 balcon(s) | Taille rue: 15.00 | Proche de: بقاله الرحمه,voursa.com,2026-01-20
987,دار للبيـــــــــــــــــــــع أفي عين الطلح,1600000.0,150.0,3.0,1.0,2.0,Teyarett,السلام عليكم ذاك دار للبيـــــــــــــــــــــع أفي عين الطلح مساحتو 150 فاتح اعل شارع إصغير مبيوعه ب 16 مليون حد مهتم يتواصل معاي [TÉLÉPHONE SUPPRIMÉ],,voursa.com,2025-12-09
252,ملح سكتير 2,800000.0,180.0,3.0,2.0,,Toujounine,"السلام عليكم 
فرصة للبيـــــــــــــــــــــع ملح سكتير 2
فاتح على شارع 25 وفكرن شارع 25
فيها ثلاث باتيك 
من داخل فيها ثلاث بيوت دوشات كوزين فرندا 
",Titre foncier | 1 balcon(s) | Taille rue: 25.00 | Proche de: ملح سكتيراثنين,voursa.com,2025-04-18
381,منزل أرضي يتكون من طابقين للبيع,5000000.0,516.0,9.0,3.0,4.0,Teyarett,منزل في عين الطلح  يتكون من طابقين فاتح اعل كدرونه وفكرن صالح  للإستثمار,Garage,voursa.com,2026-02-05
1251,دار للبيـــــــــــــــــــــع أفي  سو كجيم عين الطلح ,2300000.0,180.0,3.0,2.0,,Teyarett,"دار للبيع في سوكجيم عين الطلح 
مساحتها 180 على شارعين اكبار 
ب 23 مليون ابريمير اشوا حد مهتم يتواصل معاي واتساب 27273277حد العقار اللبيع يتواصل معاي ",1 balcon(s) | Taille rue: 15.00 | Proche de: دار للبيـــــــــــــــــــــع أفي سوكجيم ,voursa.com,2025-09-24
84,منزل للبيع ,6500000.0,600.0,4.0,2.0,,Tevragh Zeina,"#للبيع❤ 

فرصة لا تعوّض!

منزل للبيع بمساحة 600 متر مربع، في موقع مميز قرب مسجد الشيخ الرضى.
الوثائق تيتر فونصي جاهزة، 
#السعر 
 بـ 65 مليون فقط!



للتواصل والاستفسار: [ ‏ عبر واتساب. https://wa.me/22243414552
",2 balcon(s) | Taille rue: 20.00 | Proche de: مسجد الشيخ رضى ,voursa.com,2025-04-24
193,شانتيه ,1200000.0,200.0,1.0,1.0,,Arafat,"السلام عليكم 
الموقع استراتيجي واستثماري 
نيمرو للبيـــــــــــــــــــــع كد مفوضية شرم الشيخ 
فاتح على كدروه وفكرن 
فيه ابوتيك 
صالون دوش كوزين لاحكين صناج فينال 
ثاني ماركه فندصيوه 
السعر 12 مليون ",type de propriété: Autre | 1 balcon(s) | Taille rue: 40.00 | Proche de: مفوضية شرم شيخ ,voursa.com,2026-01-28
175,دار فسيت ابلاج bmciفاتح فبرك وفكرن,3800000.0,400.0,7.0,1.0,2.0,Sebkha,سعر 38 مليون حد شاري تلفنل اعل واتساب وتوف [TÉLÉPHONE SUPPRIMÉ],,voursa.com,2026-02-16
